date,amount,category,description
2023-01-01,14289.31,Utilities,Expense for Utilities on 01-Jan
2023-01-01,12607.8,Utilities,Expense for Utilities on 01-Jan
2023-01-01,13369.09,Rent,Expense for Rent on 01-Jan
2023-01-02,712.97,Healthcare,Expense for Healthcare on 02-Jan
2023-01-02,537.9,Healthcare,Expense for Healthcare on 02-Jan
2023-01-02,495.84,Entertainment,Expense for Entertainment on 02-Jan
2023-01-03,365.99,Healthcare,Expense for Healthcare on 03-Jan
2023-01-03,624.58,Rent,Expense for Rent on 03-Jan
2023-01-03,735.14,Utilities,Expense for Utilities on 03-Jan
2023-01-04,1294.64,Education,Expense for Education on 04-Jan
2023-01-04,952.01,Education,Expense for Education on 04-Jan
2023-01-04,494.41,Transport,Expense for Transport on 04-Jan
2023-01-05,406.58,Transport,Expense for Transport on 05-Jan
2023-01-05,94.12,Entertainment,Expense for Entertainment on 05-Jan
2023-01-05,494.21,Food,Expense for Food on 05-Jan
2023-01-06,391.69,Entertainment,Expense for Entertainment on 06-Jan
2023-01-06,1089.64,Entertainment,Expense for Entertainment on 06-Jan
2023-01-06,1080.76,Entertainment,Expense for Entertainment on 06-Jan
2023-01-07,1071.94,Food,Expense for Food on 07-Jan
2023-01-07,1028.42,Food,Expense for Food on 07-Jan
2023-01-07,749.36,Food,Expense for Food on 07-Jan
2023-01-08,245.74,Food,Expense for Food on 08-Jan
2023-01-08,659.72,Utilities,Expense for Utilities on 08-Jan
2023-01-08,707.33,Entertainment,Expense for Entertainment on 08-Jan
2023-01-09,838.05,Food,Expense for Food on 09-Jan
2023-01-09,473.62,Utilities,Expense for Utilities on 09-Jan
2023-01-09,700.36,Entertainment,Expense for Entertainment on 09-Jan
2023-01-10,852.19,Healthcare,Expense for Healthcare on 10-Jan
2023-01-10,261.98,Food,Expense for Food on 10-Jan
2023-01-10,408.21,Entertainment,Expense for Entertainment on 10-Jan
2023-01-11,766.47,Education,Expense for Education on 11-Jan
2023-01-11,30.2,Utilities,Expense for Utilities on 11-Jan
2023-01-11,635.68,Rent,Expense for Rent on 11-Jan
2023-01-12,529.25,Education,Expense for Education on 12-Jan
2023-01-12,181.63,Food,Expense for Food on 12-Jan
2023-01-12,952.81,Food,Expense for Food on 12-Jan
2023-01-13,830.35,Entertainment,Expense for Entertainment on 13-Jan
2023-01-13,1167.18,Entertainment,Expense for Entertainment on 13-Jan
2023-01-13,688.75,Entertainment,Expense for Entertainment on 13-Jan
2023-01-14,640.44,Entertainment,Expense for Entertainment on 14-Jan
2023-01-14,555.97,Food,Expense for Food on 14-Jan
2023-01-14,1102.88,Entertainment,Expense for Entertainment on 14-Jan
2023-01-15,443.86,Transport,Expense for Transport on 15-Jan
2023-01-15,466.48,Healthcare,Expense for Healthcare on 15-Jan
2023-01-15,813.06,Entertainment,Expense for Entertainment on 15-Jan
2023-01-16,843.69,Rent,Expense for Rent on 16-Jan
2023-01-16,566.52,Utilities,Expense for Utilities on 16-Jan
2023-01-16,873.47,Healthcare,Expense for Healthcare on 16-Jan
2023-01-17,114.01,Utilities,Expense for Utilities on 17-Jan
2023-01-17,597.53,Food,Expense for Food on 17-Jan
2023-01-17,555.38,Education,Expense for Education on 17-Jan
2023-01-18,986.57,Transport,Expense for Transport on 18-Jan
2023-01-18,386.86,Transport,Expense for Transport on 18-Jan
2023-01-18,461.39,Utilities,Expense for Utilities on 18-Jan
2023-01-19,476.17,Food,Expense for Food on 19-Jan
2023-01-19,445.18,Entertainment,Expense for Entertainment on 19-Jan
